structure,sp_index,die_x,die_y,die,measurement_id,wtp_step_5_6_v,wtp_step_5_6_mv,wtp_step_9_10_v,wtp_step_9_10_mv,wtp_worst_min_v,wtp_worst_min_mv,wtp_avg_v,wtp_avg_mv,step_5_6_status,step_9_10_status,point_status,step_5_6_file,step_9_10_file,step_5_6_path,step_9_10_path
SP00,0,5,2,"(5,2)",1,0.26334611895669313,263.34611895669315,0.264938019600876,264.938019600876,0.26334611895669313,263.34611895669315,0.2641420692787846,264.14206927878456,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 5 2    _Subsite_0__Subsite_  (1) ; 6_17_2026 3_29_14 PM].csv,step_9&10 [PQ57601w11_SP _ 5 2    _Subsite_0__Subsite_  (1) ; 6_17_2026 3_29_18 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 5 2    _Subsite_0__Subsite_  (1) ; 6_17_2026 3_29_14 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 5 2    _Subsite_0__Subsite_  (1) ; 6_17_2026 3_29_18 PM].csv
SP00,0,5,4,"(5,4)",70,0.24768046488811746,247.68046488811746,0.24741054776542104,247.41054776542103,0.24741054776542104,247.41054776542103,0.24754550632676925,247.54550632676924,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 5 4    _Subsite_0__Subsite_  (70) ; 6_17_2026 3_47_52 PM].csv,step_9&10 [PQ57601w11_SP _ 5 4    _Subsite_0__Subsite_  (70) ; 6_17_2026 3_47_58 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 5 4    _Subsite_0__Subsite_  (70) ; 6_17_2026 3_47_52 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 5 4    _Subsite_0__Subsite_  (70) ; 6_17_2026 3_47_58 PM].csv
SP00,0,5,6,"(5,6)",139,0.2264262384694226,226.4262384694226,0.20739169594946022,207.39169594946023,0.20739169594946022,207.39169594946023,0.21690896720944142,216.9089672094414,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 5 6    _Subsite_0__Subsite_  (139) ; 6_17_2026 4_06_32 PM].csv,step_9&10 [PQ57601w11_SP _ 5 6    _Subsite_0__Subsite_  (139) ; 6_17_2026 4_06_38 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 5 6    _Subsite_0__Subsite_  (139) ; 6_17_2026 4_06_32 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 5 6    _Subsite_0__Subsite_  (139) ; 6_17_2026 4_06_38 PM].csv
SP00,0,10,2,"(10,2)",24,0.28962876828823825,289.62876828823823,0.3015697658311041,301.5697658311041,0.28962876828823825,289.62876828823823,0.2955992670596712,295.5992670596712,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 10 2    _Subsite_0__Subsite_  (24) ; 6_17_2026 3_35_22 PM].csv,step_9&10 [PQ57601w11_SP _ 10 2    _Subsite_0__Subsite_  (24) ; 6_17_2026 3_35_28 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 10 2    _Subsite_0__Subsite_  (24) ; 6_17_2026 3_35_22 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 10 2    _Subsite_0__Subsite_  (24) ; 6_17_2026 3_35_28 PM].csv
SP00,0,10,4,"(10,4)",93,0.267418182453184,267.418182453184,0.2472543211776171,247.2543211776171,0.2472543211776171,247.2543211776171,0.25733625181540054,257.33625181540054,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_0__Subsite_  (93) ; 6_17_2026 3_54_02 PM].csv,step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_0__Subsite_  (93) ; 6_17_2026 3_54_08 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_0__Subsite_  (93) ; 6_17_2026 3_54_02 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_0__Subsite_  (93) ; 6_17_2026 3_54_08 PM].csv
SP00,0,10,7,"(10,7)",185,0.18804509577398795,188.04509577398795,0.22673431416231368,226.7343141623137,0.18804509577398795,188.04509577398795,0.20738970496815082,207.38970496815082,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 10 7    _Subsite_0__Subsite_  (185) ; 6_17_2026 4_18_58 PM].csv,step_9&10 [PQ57601w11_SP _ 10 7    _Subsite_0__Subsite_  (185) ; 6_17_2026 4_19_03 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 10 7    _Subsite_0__Subsite_  (185) ; 6_17_2026 4_18_58 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 10 7    _Subsite_0__Subsite_  (185) ; 6_17_2026 4_19_03 PM].csv
SP00,0,15,2,"(15,2)",47,0.1673481919635733,167.3481919635733,0.20574731583245717,205.74731583245716,0.1673481919635733,167.3481919635733,0.18654775389801526,186.54775389801526,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 15 2    _Subsite_0__Subsite_  (47) ; 6_17_2026 3_41_37 PM].csv,step_9&10 [PQ57601w11_SP _ 15 2    _Subsite_0__Subsite_  (47) ; 6_17_2026 3_41_42 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 15 2    _Subsite_0__Subsite_  (47) ; 6_17_2026 3_41_37 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 15 2    _Subsite_0__Subsite_  (47) ; 6_17_2026 3_41_42 PM].csv
SP00,0,15,4,"(15,4)",116,0.24861073186402177,248.61073186402177,0.24821880130066928,248.21880130066927,0.24821880130066928,248.21880130066927,0.24841476658234551,248.41476658234552,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 15 4    _Subsite_0__Subsite_  (116) ; 6_17_2026 4_00_18 PM].csv,step_9&10 [PQ57601w11_SP _ 15 4    _Subsite_0__Subsite_  (116) ; 6_17_2026 4_00_24 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 15 4    _Subsite_0__Subsite_  (116) ; 6_17_2026 4_00_18 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 15 4    _Subsite_0__Subsite_  (116) ; 6_17_2026 4_00_24 PM].csv
SP00,0,15,6,"(15,6)",162,0.6099993412767606,609.9993412767606,0.17011001858069125,170.11001858069125,0.17011001858069125,170.11001858069125,0.3900546799287259,390.0546799287259,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 15 6    _Subsite_0__Subsite_  (162) ; 6_17_2026 4_12_46 PM].csv,step_9&10 [PQ57601w11_SP _ 15 6    _Subsite_0__Subsite_  (162) ; 6_17_2026 4_12_51 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_5&6 [PQ57601w11_SP _ 15 6    _Subsite_0__Subsite_  (162) ; 6_17_2026 4_12_46 PM].csv,E:\IHP_POSTprocess\WTP\SP00\step_9&10 [PQ57601w11_SP _ 15 6    _Subsite_0__Subsite_  (162) ; 6_17_2026 4_12_51 PM].csv
SP01,1,5,2,"(5,2)",2,0.3279284276339397,327.9284276339397,0.2679624437581453,267.9624437581453,0.2679624437581453,267.9624437581453,0.2979454356960425,297.94543569604247,valid_crossing,valid_crossing,valid_both,step_5&6 [PQ57601w11_SP _ 5 2    _Subsite_1__Subsite_  (2) ; 6_17_2026 3_29_29 PM].csv,step_9&10 [PQ57601w11_SP _ 5 2    _Subsite_1__Subsite_  (2) ; 6_17_2026 3_29_34 PM].csv,E:\IHP_POSTprocess\WTP\SP01\step_5&6 [PQ57601w11_SP _ 5 2    _Subsite_1__Subsite_  (2) ; 6_17_2026 3_29_29 PM].csv,E:\IHP_POSTprocess\WTP\SP01\step_9&10 [PQ57601w11_SP _ 5 2    _Subsite_1__Subsite_  (2) ; 6_17_2026 3_29_34 PM].csv
